Incident ID,Date, Confirmed Time,Estimated Time,Governorate,District,Area,Target,Main category,Sub-category,Air Raids,Naval,Fatalities ,Woman,Child,Injured ,Woman,Child
1,26/03/2015,2,Early-Morning,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
2,26/03/2015,2,Early-Morning,Capital,Bani Al-Harith,Airport,Sana'a International Airport,Infrastructure,Transport,unkn,,0,0,0,0,0,0
3,26/03/2015,2,Early-Morning,Capital,Bani Al-Harith,Al-Sonblah Neighbourhood,Residential Area,Civilian,Residential Area,unkn,,21,3,14,8,0,7
4,26/03/2015,3,Early-Morning,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
5,26/03/2015,3,Early-Morning,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
6,26/03/2015,4,Early-Morning,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
7,26/03/2015,4,Early-Morning,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
8,26/03/2015,4,Early-Morning,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
9,26/03/2015,unkn,Afternoon,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
10,26/03/2015,16,Afternoon,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
11,26/03/2015,16,Afternoon,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
12,26/03/2015,21,Evening,Sanaa,Arhab,Al-Farijah,Al-Farijah Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
13,26/03/2015,21,Evening,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
14,26/03/2015,21,Evening,Sanaa,Hamdan,Dhila'a,Al-Estiqbal Military Camp,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
15,26/03/2015,21,Evening,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
16,26/03/2015,21,Evening,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
17,26/03/2015,21,Evening,Dhalie,Al-Dhalie,The City,33rd Armoured Brigade ,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
18,26/03/2015,21,Evening,Dhalie,Qatabah,Murays,Al-Sadrayn Military Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
19,26/03/2015,unkn,Afternoon,Hajja,Washhah,-,Haqqah School,Educational_Facility,School,unkn,,0,0,0,0,0,0
20,26/03/2015,unkn,Afternoon,Hajja,Washhah,"Samir, Shammakh mountains",Unknown,Unknown,Unknown,unkn,,0,0,0,0,0,0
21,26/03/2015,3,Early-Morning,Lahj,Tuban,Al-Anad,Al-Anad Airbase,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
22,26/03/2015,21,Evening,Lahj,Tuban,Al-Anad,Al-Anad Airbase,Military_Security_Target,Military Site,3,,0,0,0,0,0,0
23,26/03/2015,unkn,Early-Morning,Saada,Haydan,Marran,Houses (reportedly belonging to the Houthis leader and his realtives),Political_Tribal,Figure,2,,0,0,0,0,0,0
24,26/03/2015,unkn,Early-Morning,Saada,Haydan,Maa,Weapons Storage,Military_Security_Target,Weapon storage,unkn,,0,0,0,0,0,0
25,26/03/2015,unkn,Early-Morning,Saada,Al-Dhaher,Al-Malaheet,Unknown,Unknown,Unknown,unkn,,0,0,0,0,0,0
26,26/03/2015,15,Afternoon,Saada,Sa'ada,The City,Sa'ada Airport,Infrastructure,Transport,unkn,,0,0,0,0,0,0
27,26/03/2015,15,Afternoon,Saada,Majz,Dhahyan,Unknown,Unknown,Unknown,unkn,,0,0,0,0,0,0
28,26/03/2015,15,Afternoon,Saada,Al-Safra'a,Al-Naqa'ah,Unknown,Unknown,Unknown,unkn,,0,0,0,0,0,0
29,26/03/2015,15,Afternoon,Saada,Kitaf Wa Al-Boqe'e,Beer Zaid,Badw Tents,Civilian,Residential Area,unkn,,0,0,0,3,1,0
30,26/03/2015,15,Afternoon,Saada,Al-Dhaher,Al-Marwee,Mountain,Unknown,Unknown,1,,0,0,0,0,0,0
31,26/03/2015,20,Evening,Taiz,Salah,-,SSF Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
32,26/03/2015,20,Evening,Taiz,Al-Taiziyah,-,Taiz Airport,Infrastructure,Transport,unkn,,0,0,0,0,0,0
33,26/03/2015,20,Evening,Taiz,Al-Taiziyah,Al-Hawban ,Tariq Air Base,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
34,27/03/2015,unkn,Early-Morning,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
35,27/03/2015,unkn,Early-Morning,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
36,27/03/2015,unkn,Early-Morning,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
37,27/03/2015,9,Morning,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
38,27/03/2015,7,Evening,Capital,Bani Al-Harith,Airport,Sana'a International Airport,Infrastructure,Transport,unkn,,0,0,0,0,0,0
